source_path,source_line,kind,level,java_source,csharp_targets,status,csharp_evidence,notes
debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,169,logger-field,,private static Log LOG;,src/PdfBox.Net.Debugger/PDFDebugger.cs,migrated,src/PdfBox.Net.Debugger/PDFDebugger.cs:36: ILogger<PDFDebugger> LOG => PdfBoxLogging.CreateLogger<PDFDebugger>();,
debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,868,call,error,"LOG.error(e.getMessage(), e);",src/PdfBox.Net.Debugger/PDFDebugger.cs,absent-region,,The adapted debugger port does not contain the Java signature-entry inspection and print/parse timing regions that own these diagnostics.
debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,898,call,info,"LOG.info(""Found signature contents entry"");",src/PdfBox.Net.Debugger/PDFDebugger.cs,absent-region,,The adapted debugger port does not contain the Java signature-entry inspection and print/parse timing regions that own these diagnostics.
debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,1359,call,info,"LOG.info(""Printed in "" + ms + "" ms"");",src/PdfBox.Net.Debugger/PDFDebugger.cs,absent-region,,The adapted debugger port does not contain the Java signature-entry inspection and print/parse timing regions that own these diagnostics.
debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,1403,call,info,"LOG.info(""Parsed in "" + ms + "" ms"");",src/PdfBox.Net.Debugger/PDFDebugger.cs,absent-region,,The adapted debugger port does not contain the Java signature-entry inspection and print/parse timing regions that own these diagnostics.
debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,1452,call,info,"LOG.info(""Parsed in "" + ms + "" ms"");",src/PdfBox.Net.Debugger/PDFDebugger.cs,absent-region,,The adapted debugger port does not contain the Java signature-entry inspection and print/parse timing regions that own these diagnostics.
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/FontEncodingPaneController.java,39,logger-field,,private static final Log LOG = LogFactory.getLog(FontEncodingPaneController.class);,src/PdfBox.Net.Debugger/Fontencodingpane/FontEncodingPaneController.cs,migrated,src/PdfBox.Net.Debugger/Fontencodingpane/FontEncodingPaneController.cs:43: ILogger<FontEncodingPaneController> LOG => PdfBoxLogging.CreateLogger<FontEncodingPaneController>();,
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/FontEncodingPaneController.java,69,call,error,"LOG.error(e.getMessage(), e);",src/PdfBox.Net.Debugger/Fontencodingpane/FontEncodingPaneController.cs,migrated,"src/PdfBox.Net.Debugger/Fontencodingpane/FontEncodingPaneController.cs:72: LOG.LogError(ex, ""{ErrorMessage}"", ex.Message);",
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/SimpleFont.java,37,logger-field,,private static final Log LOG = LogFactory.getLog(SimpleFont.class);,src/PdfBox.Net.Debugger/Fontencodingpane/SimpleFont.cs,migrated,src/PdfBox.Net.Debugger/Fontencodingpane/SimpleFont.cs:43: ILogger<SimpleFont> LOG => PdfBoxLogging.CreateLogger<SimpleFont>();,
debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/SimpleFont.java,90,call,error,"LOG.error(""Couldn't render code "" + index + "" ('"" + glyphName + ""') of font "" + font.getName(), ex);",src/PdfBox.Net.Debugger/Fontencodingpane/SimpleFont.cs,migrated,"src/PdfBox.Net.Debugger/Fontencodingpane/SimpleFont.cs:86: LOG.LogError(ex, ""Couldn't render code {Code} ('{GlyphName}') of font {FontName}"", code, font.CodeToName(code), font.GetName());",
